Index,feature name
531,KIAA0319L
532,NCDN
533,RP4-728D4.2
534,TFAP2E
535,PSMB2
536,C1orf216
537,CLSPN
538,AGO4
539,AGO1
540,AGO3
541,RP4-665N4.8
542,TEKT2
543,ADPRHL2
544,COL8A2
545,TRAPPC3
546,MAP7D1
547,THRAP3
548,SH3D21
549,EVA1B
550,RP11-268J15.5
551,STK40
552,LSM10
553,OSCP1
554,MRPS15
555,CSF3R
556,GRIK3
557,LINC01137
558,ZC3H12A
559,MEAF6
560,SNIP1
561,DNALI1
562,GNL2
563,RSPO1
564,C1orf109
565,CDCA8
566,EPHA10
567,MANEAL
568,YRDC
569,C1orf122
570,MTF1
571,RP11-109P14.10
572,INPP5B
573,SF3A3
574,FHL3
575,UTP11L
576,POU3F1
577,RP5-884C9.2
578,RRAGC
579,RP5-864K19.4
580,MYCBP
581,RHBDL2
582,AKIRIN1
583,NDUFS5
584,MACF1
585,KIAA0754
586,RP11-69E11.4
587,PABPC4
588,HEYL
589,PPIE
590,BMP8B
591,OXCT2
592,TRIT1
593,MYCL
594,MFSD2A
595,CAP1
596,PPT1
597,RLF
598,RP1-39G22.7
599,ZMPSTE24
600,COL9A2
601,SMAP2
602,ZFP69B
603,ZFP69
604,RP11-656D10.3
605,EXO5
606,ZNF684
607,RIMS3
608,NFYC-AS1
609,NFYC
610,KCNQ4
611,CITED4
612,RP5-1066H13.4
613,CTPS1
614,SLFNL1
615,SCMH1
616,FOXO6
617,EDN2
618,HIVEP3
619,FOXJ3
620,RIMKLA
621,ZMYND12
622,PPCS
623,CCDC30
624,PPIH
625,RP5-994D16.3
626,YBX1
627,CLDN19
628,LEPRE1
629,C1orf50
630,CCDC23
631,ERMAP
632,RP11-342M1.3
633,ZNF691
634,SLC2A1
635,SLC2A1-AS1
636,FAM183A
637,EBNA1BP2
638,WDR65
639,TMEM125
640,C1orf210
641,TIE1
642,RP1-92O14.3
643,CDC20
644,ELOVL1
645,MED8
646,SZT2
647,HYI
648,HYI-AS1
649,PTPRF
650,KDM4A
651,KDM4A-AS1
652,ST3GAL3
653,RP11-184I16.4
654,ARTN
655,RP11-7O11.3
656,IPO13
657,DPH2
658,ATP6V0B
659,B4GALT2
660,CCDC24
661,SLC6A9
662,RP5-1198O20.4
663,DMAP1
664,ERI3
665,RNF220
666,TMEM53
667,C1orf228
668,KIF2C
669,RP11-269F19.2
670,RPS8
671,BEST4
672,PLK3
673,TCTEX1D4
674,BTBD19
675,PTCH2
676,EIF2B3
677,HECTD3
678,UROD
679,ZSWIM5
680,HPDL
681,MUTYH
682,TOE1
683,TESK2
684,CCDC163P
685,MMACHC
686,PRDX1
687,AKR1A1
688,NASP
689,CCDC17
690,GPBP1L1
691,TMEM69
692,IPP
693,MAST2
694,PIK3R3
695,RP4-533D7.4
696,RP4-533D7.5
697,TSPAN1
698,POMGNT1
699,LURAP1
700,RAD54L
701,LRRC41
702,UQCRH
703,NSUN4
704,FAAH
705,LINC00505
706,DMBX1
707,MKNK1
708,MOB3C
709,ATPAF1
710,EFCAB14
711,CYP4B1
712,CYP4A11
713,CYP4X1
714,CYP4Z1
715,CYP4A22-AS1
716,LINC00853
717,PDZK1IP1
718,TAL1
719,RP1-18D14.7
720,STIL
721,CMPK1
722,RP11-511I2.2
723,FOXD2-AS1
724,FOXD2
725,RP11-543D5.1
726,TRABD2B
727,SLC5A9
728,SPATA6
729,AGBL4
730,BEND5
731,ELAVL4
732,RP5-850O15.4
733,FAF1
734,CDKN2C
735,RP11-296A18.3
736,RNF11
737,RP11-296A18.6
738,TTC39A
739,RP11-275F13.1
740,EPS15
741,RP11-191G24.1
742,OSBPL9
743,NRD1
744,RP4-657D16.3
745,RP4-657D16.6
746,RAB3B
747,TXNDC12
748,KTI12
749,BTF3L4
750,ZFYVE9
751,CC2D1B
752,RP11-155O18.6
753,ORC1
754,PRPF38A
755,ZCCHC11
756,GPX7
757,FAM159A
758,COA7
759,ZYG11B
760,ZYG11A
761,ECHDC2
762,SCP2
763,PODN
764,RP11-334A14.5
765,SLC1A7
766,RP11-334A14.8
767,CPT2
768,C1orf123
769,RP5-1024G6.7
770,MAGOH
771,RP5-1024G6.5
772,RP5-1024G6.8
773,LRP8
774,RP11-117D22.2
775,GLIS1
776,NDC1
777,YIPF1
778,HSPB11
